age,sex,weight,height,armc
49,1,11.5,85.6,13.4
18,2,5.5,67.1,8.9
42,2,10.7,77.2,14.2
59,2,12.6,87,14.3
21,1,8.8,73,13.5
46,2,12.6,81.7,15.3
32,1,9.2,75.5,13.3
37,1,10.2,80.3,12.2
58,2,13.2,88,14.1
46,2,10.2,84.9,13.6
31,1,11.8,82.7,14.6
53,2,11.8,89.7,13.1
36,2,12.7,85.1,14.8
55,2,13.8,95.1,14.4
37,1,15.4,96.2,15.7
39,2,11.6,86.7,13.7
16,1,9.1,76.6,13.1
34,1,13.3,92.1,14.2
26,1,11,76.2,15
57,2,14.3,100,13.8
22,1,9.7,77.6,13.9
51,2,13.6,94.4,14.4
13,1,10.8,78.8,14.9
51,1,15,97.8,14.3
26,2,9.6,79.1,13.8
24,2,8.7,74.5,12.7
43,1,12.9,88.5,14.2
29,1,11.9,85.1,14.2
32,1,13.5,93.7,13.4
13,1,8.8,70.5,14.5
45,1,14.2,89.5,16
32,1,11,83.3,14.3
56,1,15.1,100,14.4
20,1,9.3,76.3,14
27,1,11.7,87.5,14.3
26,2,11.1,90.6,14.1
49,1,14.5,101.7,13.9
40,2,12.2,88.8,14.1
51,2,13.7,97.5,13.8
60,2,14.9,102.2,13.8
36,2,9.9,77.8,11.8
60,2,11.6,90.3,11.8
49,1,12.5,90,14
17,1,8.8,74,13.6
54,2,13.5,92.8,13.5
39,2,9.8,80.6,13.2
17,2,6.4,68.8,12
36,2,8.8,83.2,10.3
20,2,9.1,72.9,13.4
32,1,10.6,83.3,13.4
33,2,11.3,84.4,13.5
53,2,17.7,102.3,16
21,1,9.6,79,13.7
43,2,13.5,94.5,14.5
24,1,10.4,77.6,14.5
34,1,12.2,80.7,14
58,1,13.9,91.2,13.8
26,2,10.7,78.5,14.5
36,1,13.3,88.8,15.1
26,1,10.5,79.9,14.5
38,2,11.6,85.5,13.8
51,1,15.8,96.3,14.3
48,2,13.9,91.5,14.4
23,2,9.2,78.5,12.8
18,1,9.7,76.8,13.7
54,1,15.2,95.9,15.4
17,2,8.5,75.5,12.6
43,1,14.6,96.2,15
51,2,12.8,91.5,13.8
38,1,12.8,89.1,14.4
57,1,12.3,94.4,13.3
32,1,10.8,79.8,14.4
59,1,14.1,96,14.7
26,1,9.5,78.1,12.8
59,1,12.2,91.3,12.6
32,1,9.7,75.8,12.8
38,1,11.5,84,14.4
13,2,8.8,73,14.7
20,1,10,75.4,13
34,2,9.6,80.1,13.5
25,2,9,74.8,12.6
48,1,11.2,90.4,12.6
57,1,16.2,100.2,15.1
50,2,15.7,100.3,15
54,1,14.7,93.4,15.4
29,2,10.5,78.8,13.3
17,2,8,72.4,11.5
53,1,16,103.1,14.3
45,1,15,93,15.5
29,1,11.1,81,14.3
58,1,14.3,96,14.4
17,2,7.2,70.8,12.1
54,1,13.7,93.3,13.9
15,1,8.2,71.2,12.4
36,1,12.3,87.9,14.4
29,1,10.5,82.2,13.5
39,2,13.5,92.6,14.7
35,2,11.8,87.9,13.4
59,2,15.7,103.2,14.1
53,2,13.6,91.1,14.1
17,1,8.5,73.3,14
59,1,14,91.1,16
60,1,16.6,103.2,15.3
55,2,15.5,95.3,15.8
29,2,10.4,78.8,14.5
46,1,13.3,90,14.1
28,1,10.3,76.4,13.7
53,2,10.6,87.7,12.5
24,1,10.3,77.1,14.5
37,2,10.2,79.5,12.9
19,1,8.3,73.6,12.6
50,2,12.6,91.3,13.7
38,2,10.5,83,12.9
42,2,11,86,13.4
21,2,10.5,76.5,13.7
54,1,13.5,91.2,13.8
15,2,9.4,73.8,13.5
52,1,19.8,105.3,16.8
26,2,8.5,78,11.5
33,2,11.7,84.6,13.9
35,1,14.2,88.5,15.5
30,1,12.9,85.8,14.3
59,1,15.6,100.7,15.4
49,2,9.1,81,12.5
29,1,12,83.6,13.5
51,1,16.3,98.3,14.6
16,1,8.8,72,12.9
28,1,10.6,81.2,13.4
29,2,10.3,79.2,13.3
52,1,11.4,91,13.5
15,1,7.9,71.4,12.6
22,2,10.5,79.6,14.1
46,2,12.6,95,14.1
18,2,8.5,73.7,12.6
53,2,14.2,99.5,13.7
56,1,14,99.4,13.6
16,1,9.6,75.5,14
41,2,12.6,91.8,14
15,2,6.4,71.4,10.8
18,1,6.9,63.2,13.5
55,1,16.9,108.1,15.4
54,2,13.4,93.1,15.1
37,2,13.4,90,14.9
22,1,9.5,78.4,12.8
37,1,15,97.1,15.3
59,1,16.1,103.6,14.5
58,2,16.2,105.8,14.9
32,2,10.4,82.2,13
60,1,13.1,99.1,13.4
34,2,11.6,90.5,12.7
60,1,14.3,97.5,13.8
39,2,13.1,93.9,13.8
16,1,8.1,73,12.8
24,2,11.8,84.8,14.3
41,1,13.6,98,13.1
50,1,15.8,104.6,14.1
44,1,8.7,76.3,10.6
56,1,14.2,93,14.2
34,2,8.4,81.8,11.2
47,2,13.7,100.5,13.9
26,1,10,79.6,13.5
25,1,10.4,81.6,13.9
31,1,10.1,78.3,13.8
48,2,14.9,94.7,15.6
20,2,8.2,75.9,12.5
28,2,10.4,83.6,13
51,2,12.8,92,14.5
15,1,11,79,14.3
31,2,9.9,80.2,13
58,1,13.2,94.3,13.7
37,2,11.7,90.5,13.2
52,1,13.5,102.3,12.5
36,1,11,76,14.2
40,1,11.7,84.4,14.3
15,1,6.8,68,11.7
42,1,13.4,89,14.2
32,1,9.5,81.3,11.9
44,2,11.2,90.6,13.4
31,2,11.7,87.6,13.4
43,2,13.1,95.4,13.3
39,1,12.2,85.6,13.9
31,2,12,89.9,13.3
58,1,16.5,104.1,14.9
36,2,11.3,85.8,13.8
49,2,12.5,94.3,13
36,2,11,81.3,13.7
36,2,11.6,86.3,13.6
42,2,10.9,84.7,13.3
14,2,8,70.5,12.7
50,2,13.2,94.3,14.3
34,2,8.2,77.1,12.4
31,1,10.6,81.3,13.6
18,2,7.4,69,11.8
54,2,15.2,104.1,14
42,1,11.7,90.4,13.1
23,2,8.9,76.4,13.2
55,2,12.8,92.5,13.5
40,1,13.9,91.2,15
55,1,12.9,90.4,13.8
13,1,7.2,69.1,12.1
38,2,10.2,84.4,12.4
43,2,11.1,85.3,13.4
34,1,11.8,86.3,12
58,2,11.8,88,14.3
40,2,13.8,91.5,14.8
20,1,9.4,77,12
27,1,12,83.1,13.9
39,1,13,83.1,15.1
56,2,12.5,91,14
19,1,8.9,77.2,12.8
18,2,7.9,70.2,12.1
30,1,11.8,82.5,13.9
55,2,15.2,100,13.8
20,2,8.6,73.2,12.8
53,2,12.5,86,14.8
29,2,8.5,75.7,12.9
13,2,6.6,66.3,11
58,1,14.5,95.2,14.5
22,1,8.4,73.6,12.4
39,1,11.9,85.2,14.7
44,2,12.9,91.4,14
46,1,15.6,95.4,15.9
23,2,8.4,73.6,12.8
15,2,8,71.2,12.5
54,1,12.5,92.8,12.5
13,2,5.3,63.6,11.6
49,1,11.7,95,12.7
23,1,8.1,75.5,12.2
49,1,10.4,86.6,13.4
16,1,7,67.6,13.1
21,1,8.6,75,13.2
54,1,14,98.3,15.4
38,2,10.7,85.6,13
14,2,5.7,67.2,11.2
14,2,5.9,69.3,10.8
35,1,8.8,79.5,12.5
37,2,11.3,89.7,12.8
45,1,11.7,86.8,13
35,2,11,85.9,15
47,1,13.6,98.6,14.4
41,1,12.5,89.2,14.3
39,1,12.4,84.4,14.3
28,1,10,87,12.7
51,2,13,96,13.7
58,2,14.1,96.2,14.7
51,2,14.4,98.3,14.6
26,1,11.2,81.8,14.3
56,1,16.5,106.2,14.8
36,2,12.7,89,15.2
58,2,16.5,100.6,15.3
33,2,13.8,93,15
13,1,8.3,72.7,12.2
45,1,12.7,94.4,14
20,2,8.9,76.2,13.4
36,2,10,82.6,13.7
54,1,9.5,85.2,12.6
15,1,8.6,75,12.5
13,2,6.1,66.3,11.6
45,1,11.2,90.2,13
28,1,11.3,77.1,12.6
39,1,12.5,92.3,13.8
55,1,14.6,96.6,14.2
37,1,12.5,88.5,14.1
55,1,13.9,96.4,13.6
26,1,10.4,83.6,13.3
55,1,14.8,100.3,14.2
40,1,13.1,98,14
38,1,11.3,89.6,13.3
26,2,8.6,77.6,13
49,1,12.1,93,13.2
28,1,11,88.4,14.2
59,2,14.7,97.4,16.1
25,1,8.8,77.5,13.2
29,1,12.5,83,14.9
53,2,14.1,99.2,14.7
59,1,13.5,96.6,13.7
15,2,7.2,72.7,11.4
30,1,10.4,81.5,14
27,2,7.8,76.2,11.4
14,1,6.5,68.4,12.1
14,1,7.8,71.5,12.7
43,1,13.9,90.2,16
50,1,12.2,91.1,13.8
16,2,8.4,73.8,13.5
58,2,16.3,108.5,14.4
21,2,9.3,76.8,15
50,1,13,92.8,14.6
31,1,10.4,82.1,13.3
49,1,13.8,97.4,14.3
35,2,9.2,78.1,12.9
57,2,11.4,94.7,13.3
57,2,11.4,91.4,13.7
15,2,8.3,73,13
50,2,12.8,88.7,15
35,2,9.3,77.1,13.5
40,2,13.4,93.1,14.7
15,2,8.4,78.2,12.6
24,2,8.3,76.1,13.2
46,2,10.5,83.9,14.2
38,2,9.1,78.8,14.1
51,2,12.8,97.7,14
13,1,6.6,69.6,11.5
14,1,6.9,70.5,12.3
55,1,12.9,100.3,13.4
38,1,10.4,86.2,13.5
25,1,10,83.5,14.4
14,1,8,73.9,13.5
48,2,14.4,102.1,14.5
18,1,8,75.9,12.6
40,2,9.3,81.5,13
60,1,12.6,95.1,13.7
28,1,10.1,81.8,13.4
50,1,13.1,94.8,14.6
30,2,9.6,80,13
56,1,15.9,101.1,14.6
21,1,9.6,79.1,13.9
40,1,12.2,94.6,13.4
47,1,14,93.7,14.2
50,1,11.8,89.6,13.2
18,2,7,70.2,12
18,2,7.5,73,12.5
18,2,7.1,73,12.4
43,1,13.4,92.4,15.4
46,2,10.3,89.6,12.4
38,1,12,91,13.7
32,2,10.1,80.4,13.5
52,2,11.1,90.3,13.5
24,1,9.5,77.4,13.5
52,1,11.8,90.4,14
14,2,8.6,75.3,13.5
49,2,12.6,95.2,13.2
18,2,7.6,72.3,12.4
20,2,8.5,78,13.4
49,1,13.3,93.5,14.3
49,1,11.3,90.4,14
13,2,7.8,77.3,11.3
16,1,8.6,74.5,13
46,2,14.6,94.9,15.1
27,1,10.1,82.4,14
54,1,14.8,96,16
38,2,15.9,100,15.2
22,1,9.2,78,12.7
49,1,13,97.1,14.4
16,1,8.8,76,12.8
60,1,17,106,16.1
17,2,9.9,81.4,13.4
40,2,13.3,88.6,16
45,1,14.5,96,15
28,2,10.6,80.2,13.8
16,2,8.1,73.1,13.6
14,2,8.4,74.1,14
46,2,13.3,93.8,15
40,2,10.3,84.5,12.6
49,2,11.7,91.2,13.6
14,1,8.4,73.5,13.5
41,2,12.4,87,14.4
50,1,13.8,98,13.2
46,2,13.9,98.8,13.9
25,1,10.1,77.2,13.8
41,2,12.6,93.5,14.6
23,1,8.6,71.8,13.1
42,2,12.5,86.4,15.6
52,2,12.9,92.8,14.1
41,1,12.6,85.4,13.8
48,2,14.9,102.5,14.1
36,1,12.3,89.6,14
40,2,11.2,88,14.1
20,2,8,75.5,12.8
33,2,9.1,80.8,12.8
38,2,13.7,90.1,16
54,2,13.3,95.4,14.7
18,1,9,76.1,13.7
41,1,9.6,85.2,12.6
24,1,9.9,78.6,14.6
49,1,16.2,98.4,16.3
13,2,6.4,67,10.9
54,2,13.5,95.5,14.7
60,1,13.3,97,14.2
54,1,10.9,88.1,13.7
38,1,9.9,84.6,12.4
25,2,8,76.9,12.7
59,1,12.7,96.6,13.9
55,1,16.7,103.4,15.9
55,2,13.4,93.4,14.8
42,1,12.2,92.3,13.8
36,1,6.8,70.9,10.9
41,2,9.8,83.6,13.3
18,1,8.7,74,13.3
51,2,13.4,97.2,14.1
18,1,7.7,74.6,12.9
42,1,13.3,93.5,15.3
28,2,8.3,78.5,12.8
27,1,11,83.4,14.6
41,1,15,99.1,15.4
23,2,8,73.6,13.4
27,1,7.9,73,12.4
57,1,11.8,91.5,13.5
13,2,6,66.4,11.2
38,2,11.5,83.7,14.8
26,2,9.5,78.4,14.7
27,1,8,77,11.6
46,1,10.7,87.9,13
41,1,13.4,90.4,14.2
28,1,9.1,80.1,12.6
14,2,6.8,68.3,12
28,1,9.2,80.5,12.6
42,2,12.7,86.6,15.2
45,2,11.1,97.3,12.1
25,1,12.4,89.8,14.5
22,1,10.5,77.1,14.8
47,2,13.3,88.8,15.5
45,1,14,99.6,13.5
28,2,10.9,84.4,13.7
14,1,8.4,71.2,13.4
52,2,10.6,88.6,14
15,2,7.4,69.6,13
52,2,12.5,93.6,14.9
14,1,7.9,72.7,12.8
54,1,13.3,95.7,14.2
39,2,11.7,84,15
16,2,7.2,70.1,12.5
31,2,11.3,88.6,14
15,1,7.6,73.3,12.3
48,2,11.5,88.5,14.3
23,1,8.6,77.6,13.1
34,1,12.3,86.3,14.9
22,1,12,80.8,15.8
21,2,9.6,79.1,14.2
32,1,11.7,82.1,15.9
33,2,10.1,82.1,14.2
36,1,12.2,88.7,14.7
59,1,13.6,100.2,14.1
33,1,10,84,13.2
59,2,13.9,98.4,14.3
59,1,15.6,104.8,14.4
59,1,16.5,111.8,14.8
48,1,13.2,92.9,14.6
58,1,14,95.9,15.6
54,2,12.6,93.1,14.7
58,1,15.1,101,14.3
23,2,7.5,76.8,11.7
46,2,11.7,91.4,14.3
34,2,9.5,80.9,13
50,1,11.8,90.7,14.3
31,1,8.7,76.1,13.8
21,2,9.6,75,15
53,2,14.7,90,16.5
38,2,11.5,83.3,15.9
41,1,13.1,89.7,15.8
50,2,15.7,105.1,14.6
25,2,11.2,80.4,14.8
54,1,15,99.3,14.6
44,1,12.7,90.7,14.7
45,1,14.4,99.4,14.5
19,2,9.5,77.4,13.9
47,2,14,93.7,15
51,2,12.2,88.9,14.4
55,2,15.6,100.6,15.8
32,2,10.7,82.8,14.2
55,2,14,97.4,14.5
28,1,9.6,80.4,13.7
39,1,11.3,89.9,13.9
33,2,9.7,85.2,13.7
38,1,10.6,85.7,13.6
23,1,8.4,77.6,12.7
45,1,13.1,93.8,14.9
34,1,13.7,91.1,15.6
36,2,11.2,85.1,13.8
55,2,12.8,97.5,13.7
41,1,11.8,90.5,12.9
16,1,8.8,76.8,13.4
15,1,8,71.5,13.6
43,2,13.1,92.4,16
24,1,9.8,76.8,13.7
53,2,12.2,87,14.5
23,1,9.3,76.7,13.8
56,2,10.5,85.2,12.8
47,1,10.6,84.3,13.4
34,1,10.8,85.5,14
13,1,9.3,74.2,14.9
29,2,9.2,80.1,13.1
15,2,7.4,71,11.8
38,2,10.2,81.5,13.8
42,2,11.1,86.7,14.4
54,2,13,93.7,14.2
51,1,12.6,91.6,14.8
42,1,12.6,85.5,15.4
56,1,13.2,91.9,13.6
30,2,8,75,12.3
41,2,12.8,91.9,14.4
57,2,17.4,106.5,16
37,1,10.7,87.4,13.8
58,1,14.1,104.6,13
38,2,13.2,88,16.1
15,1,6,65.8,11.5
31,2,11.5,83.2,15.8
20,2,9.2,76.6,14.7
56,2,11.4,87.2,14.7
16,2,6,66.8,11.8
15,1,6.9,70,13.3
29,1,8.7,78,13
38,2,9.1,83.5,12.5
42,2,11.6,88.7,14.3
50,2,11.5,94.6,13.4
21,2,8.3,76.2,13.5
50,1,13,95,15.6
15,1,5.8,65.6,11.7
45,1,14,95.7,15.5
38,1,12.1,89.3,14.1
40,2,8,79.4,12.5
24,2,8.1,75.5,13.2
37,1,12.1,89.6,14.3
16,2,6.6,67.9,12.7
59,1,15.6,107.9,15.3
14,1,7.7,72,13
30,2,9.3,81.6,14.1
42,2,11.9,84.6,15
17,1,7,71,12.9
16,2,7.7,70,13.5
30,1,10.8,81.9,14.2
28,2,10,81,13.5
52,1,14,97.9,14.7
49,2,11.3,90.1,13.5
58,2,14.5,99.3,15.6
51,1,14.2,97.7,15.3
46,1,12.4,90.5,14.8
37,1,10.4,83.1,13.8
45,1,14.2,96,15.3
20,2,8.8,76.3,14
60,2,15,98.7,15.9
21,1,10.2,78,14
13,1,7,66.3,13.3
37,2,6.6,78.5,12.3
59,2,13,91.4,15.5
35,1,9.7,80.3,13.5
24,1,8.1,71.5,14
14,2,6.2,62.2,12.3
50,2,13.8,99.4,14
16,2,6.2,69,12
13,1,7,67.5,13.1
34,2,9.5,81.1,13.5
34,2,10.4,84.5,13.5
52,1,14.9,100,14.8
14,1,6,66.6,11.8
38,2,10.2,84,13.8
50,1,11.6,89.2,14
13,1,4.6,62.2,10
50,1,12.3,91.4,12
25,1,8.3,72.2,13.5
33,1,11.6,87.5,14
52,2,13.9,99.2,14.5
28,1,9.8,82.9,13.6
32,1,12.8,86.4,16.3
39,1,10.6,90.6,13.2
23,1,9,78.6,14.5
20,1,7.4,71.3,12.8
31,1,10.8,79.2,15
52,2,12.8,98.4,14
19,2,6.6,70,12
50,1,13,93.8,13.4
24,1,8.2,74.5,13.5
36,2,7.3,70.2,12.4
39,1,10.2,87.4,13.5
59,1,15,99,16.5
50,1,13.8,93.7,14.8
25,2,11.4,85.3,15.5
25,1,11.2,84.7,14.7
48,2,12.5,89.8,15
31,2,9,84.5,12.9
49,1,12.3,95.7,14.1
44,2,13.9,99.6,14.6
15,1,6.5,69.2,12.1
49,2,13.8,97,14.5
19,2,8.6,74.3,13.7
50,2,13.1,99.4,14.2
53,1,12.9,97,12.6
24,1,10.7,78.6,14.7
59,2,13.9,96.6,15.3
50,1,14.5,98.2,15.5
20,1,7.5,72.2,12.5
48,1,12.2,92.3,14
35,2,11,86,14
39,2,10.6,86.8,13.8
13,2,6,63.8,12.2
34,2,12.2,86.3,15.7
24,1,9.2,76.5,15
13,1,7.4,67.3,14.2
26,1,9.9,79.5,13.8
14,2,7.5,68.5,13.9
39,2,12.1,86.1,15.5
46,1,14.1,96.7,15.8
34,1,8.9,77.2,13.7
41,2,12,89,14.7
53,2,10.5,84.6,13.6
50,2,11.3,90.9,13
40,1,11,86,14.6
49,1,9.9,87,13.2
16,2,7.8,70.3,13.3
14,1,6.9,70,12.8
50,1,12.8,91,14.9
15,1,9.1,74,14.1
33,1,8.8,78.6,12.7
55,1,10,84.5,13.6
27,1,9.8,80.1,13.6
59,2,12.7,90.5,15.2
34,1,11.3,86,13.9
13,1,6.9,69.8,12.3
23,1,8.6,78.1,13.4
27,1,9.5,79.6,13.8
13,1,7.4,69.6,13.1
35,2,10.4,81.6,14.5
13,2,6.9,67.7,12.7
32,1,9.3,78,13.7
52,1,12.2,94.1,14.5
13,1,8.4,72,14
47,1,12.8,87.8,15.7
34,1,8.9,74.7,13.6
35,1,11.8,87,15.6
59,1,12.6,99,14.3
46,1,10.6,84,13.7
53,1,12.3,90,14
49,2,12.2,92.6,14
14,1,6.9,68.7,11.8
40,2,11.5,80.5,15.9
51,1,16.4,103.4,15.4
24,2,9,79,12.6
50,1,13.2,96.4,14
26,1,8.3,76.7,12.1
53,1,10.9,92.5,12.5
37,2,10.1,86.5,13.2
44,1,11.7,90.5,15
56,1,19,114,14.8
16,2,6.6,69,12.2
57,1,13.3,100,13.7
33,2,7,80.2,9.3
51,1,17.1,106.3,16
49,2,13.7,104.5,14.3
38,2,8.1,76,13.5
16,2,6.3,68.5,12.2
35,1,12.4,89,15.2
18,2,4.9,66.5,10.4
20,2,7,73,10.8
52,1,11.9,95.6,13.5
35,1,8.6,76.5,13.3
52,1,10.8,86.5,12.6
27,1,9.1,80.8,13.3
35,1,10.2,85.7,12.5
59,2,11.8,96,12.2
48,1,10.2,95,11.5
21,2,7.7,78.5,12
59,1,16.5,105.5,14.8
16,2,5.6,65.5,12.7
40,2,11.4,89.5,14
48,1,9.6,86.3,11.7
54,1,13,99.3,13.5
48,1,13.2,92.4,14.6
47,1,14.2,102.1,14.5
38,1,11.7,86.3,13.6
51,1,14.3,100.7,15
19,1,6.6,71.3,12
31,2,10.7,83.6,13.5
36,2,10.8,84.6,13.9
20,1,7.2,72.8,13
24,2,7.9,73.5,13.9
36,2,9.2,80,12.7
24,2,7.7,72,13.3
49,2,11.8,90.8,15.2
36,1,12.7,89.1,15.5
24,1,9.2,81.1,13.9
30,1,9.7,82.7,13.7
48,1,14,95.5,15.9
34,2,9.6,83.3,13.1
42,1,9.7,81.1,13.4
41,1,11.8,90,13
28,2,5.8,73,9.8
22,2,6.6,73.3,11.1
45,1,13,97.8,13.4
38,1,12.5,88.5,14.5
53,1,15.7,101.5,16.7
14,2,6,64.1,12.2
34,2,10.1,87,14
58,1,13.2,97.8,14.7
57,1,13.8,105.5,13.9
21,1,9,78.5,14.7
51,2,12.6,100.2,14.2
60,2,11.8,96.3,13.7
49,1,12.5,92.8,13.9
53,1,11.9,87.5,14.6
55,1,12.6,91.2,14.2
13,2,6.8,66.3,13.2
49,2,13.6,98.8,14.7
17,1,7.1,73.5,12.8
50,1,13.9,102.5,14.7
14,2,6.6,68.3,12
42,1,10,82,13
25,2,7.3,73.8,12
36,1,11.2,86.4,14.4
56,2,13.7,98.5,14.4
23,2,9.3,80.3,12.7
17,2,8,73,12.9
56,1,14.5,100.6,14.4
19,2,6.7,70.8,12.6
48,1,13.1,94.9,14.5
27,2,8.2,76.7,12.8
34,1,9.8,88.2,12
21,2,7.2,70.2,13
45,2,4.3,68.5,8.5
35,2,9.2,78.5,12.7
13,2,5.6,64.3,11.5
36,2,10.5,79.5,15
20,1,7.4,75,11.9
33,1,10.4,87.7,13.5
38,1,11.2,87.4,14.7
35,1,11.5,86.2,15
47,2,14.8,94.4,16.4
29,1,10.7,85.4,13.9
33,2,9,78.5,13.5
55,1,13.6,95.3,15
37,2,7.5,71.3,12.8
51,1,13.8,97.1,14.4
58,1,15.1,98.2,15.2
30,1,11.1,84.5,14.2
52,2,13.1,96.2,14.5
36,1,10.5,86,13.2
23,2,8.5,77.5,14.3
45,2,13.3,91.5,15.8
56,1,13.7,100.8,14
52,1,12.1,86.4,16
17,2,5.9,67.4,12
57,2,12.9,99.6,13.4
48,2,10.9,86.5,14
23,1,7.9,73,13
24,2,9.6,78.4,13.4
19,1,8.3,75.1,13.5
49,1,14,104,13.8
22,2,8.2,79.8,12.6
37,1,13.3,99.1,14
24,2,11.2,88.6,14.3
29,1,10.6,82,14.1
43,1,12.5,100.2,13
34,1,12.3,85.8,14.8
26,1,8.8,80.6,13.3
16,2,7.5,71,12.7
24,1,8.2,75.5,13.4
23,2,5.6,65.5,11.2
14,2,6,70.5,11
37,2,9.4,81.5,13.2
35,2,9,84.7,15.4
35,1,9.6,77.6,14
21,1,8,74.8,13.2
48,2,10.6,86,14.6
27,2,9.1,80,12.5
13,2,4.6,64.1,10
50,1,11.7,93.7,13.2
49,2,15,104,14.7
29,2,10,78.5,15.3
36,1,9.6,78.2,13.8
43,1,7.5,77,10.6
35,2,8.5,80.3,12.5
49,2,11.1,96.5,13.5
33,1,8.4,75.8,13.4
36,2,9.7,81,14.2
37,1,10.6,86,13
51,2,14.1,95.8,15
51,1,15,100,15.4
26,1,8.2,77.4,12.9
22,1,8.8,76.2,13.3
24,2,7.3,75.3,12.9
48,1,12.3,97.3,14
23,2,8.1,77.4,13.6
42,2,11.2,85,15.4
22,2,7.2,74.5,12.8
24,1,10.1,78,14.5
34,2,11.7,90.7,13.5
20,2,6.5,70.4,12.2
57,1,12.4,96.5,14.2
25,2,9.1,76.8,14.4
13,2,6.2,67.5,12.1
45,1,11.8,90.8,14.1
47,1,12.5,95.1,14.5
51,1,11.7,94.3,13.6
50,1,12.1,92.8,13.2
13,1,7.2,68.5,13
33,2,10.2,74.5,15.7
37,2,10.9,85.6,14.5
44,1,13.3,90,15.2
45,2,11.2,86.1,14.9
27,1,10.6,83.5,14.3
45,1,13.6,98.6,15.7
16,1,9.4,78,14.1
30,2,10.2,81.6,14.4
40,1,13.6,97.6,15.2
23,2,10,81.4,13.9
47,1,12.9,97.9,14.9
54,2,11,86.5,14
34,2,8.5,76.1,13.9
15,1,9.3,79.3,15.1
43,2,14.7,100.5,15.5
22,1,8.3,79.5,13
52,1,14.5,94.6,16.8
49,1,14.8,98.9,16.1
36,2,8.8,83.3,12.6
42,1,13.7,92,16.1
24,2,7.9,74.5,13.5
15,2,8.5,72,14.3
14,2,8.5,74.7,13.6
51,2,12.7,89.6,15.5
27,1,8.2,78,13.2
50,2,12.9,100.7,13.8
49,1,14.2,100,15
46,1,14.4,95.8,14.9
37,1,12,88.7,14.4
38,1,10.9,84.7,15.1
20,1,8.1,76,13.8
26,1,8.4,74.6,13.2
25,2,7.3,71,12.5
58,1,10.4,92.3,12.3
47,2,12.3,94.8,14.2
38,1,10.2,82.8,14.1
37,1,11.2,85,14
38,2,9.2,79.1,12.7
32,1,10.6,86.2,14.5
58,1,14.3,98.5,14.4
36,2,10.9,84.5,14.5
26,2,9,80,13.5
55,2,14.3,97.2,15.3
27,2,9.4,77,14.3
60,2,13.3,98,14.2
25,1,11,82.7,13.6
23,1,7.7,72.7,13.8
57,1,14.3,100.6,13.8
21,2,7.8,74.9,13
35,1,11,82.7,14.8
21,2,8.5,76.6,12.6
44,1,11.2,90.5,13.8
15,2,7.2,69.6,13
37,2,11,82.7,15.3
31,1,12.2,91.3,14.1
37,2,11.4,85.7,13.9
16,1,8,75.3,12.9
48,1,12.1,91.4,14.1
26,2,9.7,79.1,14.5
59,1,13.9,95.6,15.2
48,2,12.1,86.4,15.5
58,1,13.9,94.4,15.3
36,2,9.4,80,14.2
55,1,13.6,90.7,15.3
52,1,12.4,95,14.3
55,2,12.9,95,14.4
58,1,13.2,93.3,14.5
42,1,9.8,81,13.7
37,2,10.7,85.3,14
34,1,7.8,74.2,12.9
32,2,10.8,79.5,16
60,1,13.3,98.5,13.6
27,2,10,79.5,14.5
19,1,10.7,83,14.8
45,1,10.8,84.2,13.8
33,1,11.6,85.2,14.4
54,1,12.6,91.6,14.1
30,1,11.1,83,13.6
33,1,10,81.6,14
59,2,13.4,94.3,15.5
33,1,10.9,80.6,14.5
24,1,9.7,76.5,14.3
60,1,16.5,101.3,16
42,2,9.6,80,13
13,2,7,69.7,13
42,2,12.1,87.5,14.3
35,2,10,83.6,14.2
16,2,6.8,71.3,12
37,1,12.6,94.2,14.3
58,2,13.9,101.9,15.3
20,2,6.6,72.6,12.2
47,1,12.7,96.4,14.7
22,2,7.2,73.3,13.2
57,1,13.2,96.2,14.9
40,2,10.4,85,14.1
24,1,7,70.8,12.3
37,2,11,87.9,14
34,2,10.4,83,15
59,2,12.4,92.2,14.7
19,1,6.7,71.8,12.2
13,1,7.1,68.5,12.4
45,1,14.4,91.8,16.1
35,2,8.7,77,12.8
57,2,13.1,99,14.4
24,1,11.4,82.5,15.4
45,1,12,93.5,13.9
29,2,10.9,81.4,15.3
57,2,15.3,103,15.1
36,1,11.1,85.8,14
26,1,8.7,74.6,13.5
39,1,11.1,84.3,14.7
35,1,12.8,88.3,14.6
34,2,10.3,86.7,13.5
50,1,12.1,90.5,15.1
17,1,6.2,65.3,11.7
45,2,13,91.1,15.6
52,2,12.4,94.8,14.6
44,2,12.3,95.2,14
33,2,10,82.6,14.1
26,1,11,87.2,13.9
50,2,11,86.5,13.8
19,2,6.2,70.9,12
17,1,6.9,71.5,11.9
38,1,10.4,88,12.8
36,2,10.1,84.8,13.4
20,1,9.7,79.6,14.4
27,1,10.9,84.7,14.1
50,1,13.5,94.3,15.1
48,1,12.3,95.5,13.1
14,1,6.5,66,12.7
23,2,8.3,78.5,13
60,2,13.5,101.7,13.8
31,2,11,86.1,13.6
16,2,10,76,16
28,2,10.4,82.9,14.4
13,2,7.2,71.4,13
37,2,11.1,86.4,14.1
52,2,15.3,102.8,15.3
17,2,7,69.6,12.5
41,2,11.6,92.8,14.4
19,2,7.9,76.2,12.7
40,2,8.2,76.3,12.7
22,2,8.2,76.8,13.1
30,1,10.6,85.7,13.5
